FormDefectName,ProposedL1Code,ProposedL2Code,ProposedL2Name,LineType,SourceFile,Evidence
Paint in Threads,APPLICATION,PAINT-IN-THREADS,Paint in Threads,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.5 Powder Defect Tracking Sheet.xlsx,Sheet:DEFECT TRACKING  Row:3
Light Coverage,COVERAGE,LIGHT-COVERAGE,Light Coverage / Thin Film,BOTH,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.5 Powder Defect Tracking Sheet.xlsx,Sheet:DEFECT TRACKING  Row:3
Damaged (Scratched),DAMAGE,SCRATCH,Scratch / Surface Damage,BOTH,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.5 Powder Defect Tracking Sheet.xlsx,Sheet:DEFECT TRACKING  Row:3
Back Ionization,APPLICATION,BACK-IONIZATION,Back Ionization,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.5 Powder Defect Tracking Sheet.xlsx,Sheet:DEFECT TRACKING  Row:3
Orange Peel,TEXTURE,ORANGE-PEEL,Orange Peel,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.5 Powder Defect Tracking Sheet.xlsx,Sheet:DEFECT TRACKING  Row:3
Debris,CONTAMINATION,DEBRIS,Debris,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.5 Powder Defect Tracking Sheet.xlsx,Sheet:DEFECT TRACKING  Row:3
Hook Mark,DAMAGE,HOOK-MARK,Hook Mark / Hanger Mark,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.5 Powder Defect Tracking Sheet.xlsx,Sheet:DEFECT TRACKING  Row:3
Build Up,APPLICATION,BUILD-UP,Build Up,BOTH,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.5 Powder Defect Tracking Sheet.xlsx,Sheet:DEFECT TRACKING  Row:3
Water,CONTAMINATION,WATER-SPOTS,Water Spots / Water Marks,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.5 Powder Defect Tracking Sheet.xlsx,Sheet:DEFECT TRACKING  Row:3
Contamination,CONTAMINATION,CONTAMINATION,Contamination (General),POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.5 Powder Defect Tracking Sheet.xlsx,Sheet:DEFECT TRACKING  Row:3
Rust,CORROSION,RUST,Rust,BOTH,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.5 Powder Defect Tracking Sheet.xlsx,Sheet:DEFECT TRACKING  Row:3
Bubbles,SURFACE,BUBBLES,Bubbles / Air Pockets,ECOAT,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.7 Ecoat Defect Tracking.xlsx,Sheet:DEFECT TRACKING  Row:3
Light Coverage,COVERAGE,LIGHT-COVERAGE,Light Coverage / Thin Film,BOTH,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.7 Ecoat Defect Tracking.xlsx,Sheet:DEFECT TRACKING  Row:3
