relative_path,document_number,file_name,category,line,customer,file_type,file_size_bytes,last_modified_utc,parse_status,revision_hint_in_name,contains_sample_data
8.2.1.1 Powder Line Forms/8.2.1.1.1 Daily Temperature Check Log.xlsx,8.2.1.1.1,8.2.1.1.1 Daily Temperature Check Log.xlsx,PROCESS CONTROL,Powder,General,xlsx,35543,2025-08-20T11:48:33Z,SHEETS_PARSED,No,UNKNOWN
8.2.1.1 Powder Line Forms/8.2.1.1.13 Offline Batch Oven Daily Check Sheet.xls,8.2.1.1.13,8.2.1.1.13 Offline Batch Oven Daily Check Sheet.xls,None/Reference,Powder,General,xls,38912,2024-07-17T13:18:33Z,LEGACY_XLS_NOT_PARSED,No,UNKNOWN
8.2.1.1 Powder Line Forms/8.2.1.1.14 Filter Change Log.xls,8.2.1.1.14,8.2.1.1.14 Filter Change Log.xls,MAINTENANCE / PM,Powder,General,xls,27136,2022-03-15T16:33:10Z,LEGACY_XLS_NOT_PARSED,No,UNKNOWN
8.2.1.1 Powder Line Forms/8.2.1.1.16 Powder Booth Weekly Cleaning and Maintenance Check Sheet.xlsx,8.2.1.1.16,8.2.1.1.16 Powder Booth Weekly Cleaning and Maintenance Check Sheet.xlsx,MAINTENANCE / PM,Powder,General,xlsx,15290,2025-07-04T16:39:58Z,SHEETS_PARSED,No,UNKNOWN
8.2.1.1 Powder Line Forms/8.2.1.1.17 Cure Oven Cleaning Log.xls,8.2.1.1.17,8.2.1.1.17 Cure Oven Cleaning Log.xls,MAINTENANCE / PM,Powder,General,xls,21504,2016-11-03T14:47:50Z,LEGACY_XLS_NOT_PARSED,No,UNKNOWN
8.2.1.1 Powder Line Forms/8.2.1.1.18 Dry Off Oven Cleaning Log.xls,8.2.1.1.18,8.2.1.1.18 Dry Off Oven Cleaning Log.xls,MAINTENANCE / PM,Powder,General,xls,20480,2016-11-03T14:49:17Z,LEGACY_XLS_NOT_PARSED,No,UNKNOWN
8.2.1.1 Powder Line Forms/8.2.1.1.2 Paint Record.xlsx,8.2.1.1.2,8.2.1.1.2 Paint Record.xlsx,PRODUCTION TRACKING,Powder,General,xlsx,28318,2025-06-19T16:01:46Z,SHEETS_PARSED,No,UNKNOWN
8.2.1.1 Powder Line Forms/8.2.1.1.29 Offline Booth Pressure Differential Gauge Check Sheet.xlsx,8.2.1.1.29,8.2.1.1.29 Offline Booth Pressure Differential Gauge Check Sheet.xlsx,None/Reference,Powder,General,xlsx,87261,2022-03-15T16:35:07Z,SHEETS_PARSED,No,UNKNOWN
8.2.1.1 Powder Line Forms/8.2.1.1.33 Pre Cure Inspection.xlsx,8.2.1.1.33,8.2.1.1.33 Pre Cure Inspection.xlsx,QUALITY INSPECTION,Powder,General,xlsx,25126,2025-06-11T18:14:14Z,SHEETS_PARSED,No,UNKNOWN
8.2.1.1 Powder Line Forms/8.2.1.1.35 Powder Booth Recipe Parameter Template.xlsx,8.2.1.1.35,8.2.1.1.35 Powder Booth Recipe Parameter Template.xlsx,PROCESS CONTROL,Powder,General,xlsx,22584,2022-03-11T15:36:12Z,SHEETS_PARSED,No,UNKNOWN
