cluster_id,document_number,relative_path,is_obsolete,last_modified_utc,revision_note,cluster_confidence
1,8.2.2.25,8.2.2.25 Solvent Usage Tracking.xlsx,False,2023-10-31T15:28:45Z,CURRENT,HIGH
1,8.2.2.25,Obsolete/8.2.2.25 Solvent Usage Tracking.xlsx,True,2023-09-20T15:17:25Z,OBSOLETE/SUPERSEDED,HIGH
2,8.2.2.26,8.2.2.26 New Paint Batch Verification.xlsx,False,2024-06-28T15:35:42Z,CURRENT,HIGH
2,8.2.2.26,Obsolete/8.2.2.26 Colour Verification (V2).xlsx,True,2023-12-18T15:50:45Z,OBSOLETE/SUPERSEDED,HIGH
2,8.2.2.26,Obsolete/8.2.2.26 Colour Verification.xlsx,True,2023-10-31T14:37:29Z,OBSOLETE/SUPERSEDED,HIGH
2,8.2.2.26,Obsolete/8.2.2.26 New Paint Batch Colour Verification.xlsx,True,2024-06-20T20:04:38Z,OBSOLETE/SUPERSEDED,HIGH
3,8.2.2.5,8.2.2.5 Paint Kitchen Inventory.xlsx,False,2025-01-17T15:01:29Z,CURRENT,HIGH
3,8.2.2.5,Obsolete/8.2.2.5 Paint Kitchen Inventory (v2).xlsx,True,2024-05-06T14:57:04Z,OBSOLETE/SUPERSEDED,HIGH
3,8.2.2.5,Obsolete/8.2.2.5 Paint Kitchen Inventory version 1.xlsx,True,2023-12-20T18:18:06Z,OBSOLETE/SUPERSEDED,HIGH
3,8.2.2.5,Obsolete/8.2.2.5 Paint Kitchen Inventory.xlsx,True,2023-09-05T11:58:38Z,OBSOLETE/SUPERSEDED,HIGH
3,8.2.2.5,Obsolete/8.2.2.5 Paint Kitchen Inventory12-20-23.xlsx,True,2023-12-20T18:23:56Z,OBSOLETE/SUPERSEDED,HIGH
4,8.2.2.7,8.2.2.7 Daily Sanding Tally Sheet.xlsx,False,2026-02-05T17:59:10Z,CURRENT,HIGH
4,8.2.2.7,Obsolete/8.2.2.7 Daily Sanding Tally Sheet.xlsx,True,2023-07-24T18:38:33Z,OBSOLETE/SUPERSEDED,HIGH
5,8.2.2.8,8.2.2.8 Daily Buffing Tally Sheet.xlsx,False,2026-02-05T17:54:30Z,CURRENT,HIGH
5,8.2.2.8,Obsolete/8.2.2.8 Daily Buffing Tally Sheet.xlsx,True,2023-07-24T18:40:58Z,OBSOLETE/SUPERSEDED,HIGH
