relative_path,document_number,sheet_index,sheet_name,file_type
8.2.2.10 Sanded- Ready For Paint(Orange).xlsx,8.2.2.10,0,In Process Tag,xlsx
8.2.2.11 Finished GoodsPartial.xlsx,8.2.2.11,0,In Process Tag,xlsx
8.2.2.12 Hold Tag.xlsx,8.2.2.12,0,In Process Tag,xlsx
8.2.2.13 Hold For Review.xlsx,8.2.2.13,0,In Process Tag,xlsx
8.2.2.14 Partial Raw.xlsx,8.2.2.14,0,In Process Tag,xlsx
8.2.2.15 Rework- To Be Sanded.xlsx,8.2.2.15,0,In Process Tag,xlsx
8.2.2.16 To Be Buffed.xlsx,8.2.2.16,0,In Process Tag,xlsx
8.2.2.17 Booth Sludge.xlsx,8.2.2.17,0,In Process Tag,xlsx
8.2.2.18 Empty.xlsx,8.2.2.18,0,In Process Tag,xlsx
8.2.2.19 Still Bottoms.xlsx,8.2.2.19,0,In Process Tag,xlsx
8.2.2.20 Waste Paint.xlsx,8.2.2.20,0,In Process Tag,xlsx
8.2.2.21 Waste Zinc.xlsx,8.2.2.21,0,In Process Tag,xlsx
8.2.2.22 Use Next.xlsx,8.2.2.22,0,In Process Tag,xlsx
8.2.2.23 Paint Mix Information Sheet.xlsx,8.2.2.23,0,Sheet1,xlsx
8.2.2.24 Pressure Pot Label.xlsx,8.2.2.24,0,Sheet1,xlsx
8.2.2.24 Pressure Pot Label.xlsx,8.2.2.24,1,Sheet2,xlsx
8.2.2.25 Solvent Usage Tracking.xlsx,8.2.2.25,0,Sheet1,xlsx
8.2.2.26 New Paint Batch Verification.xlsx,8.2.2.26,0,Sheet1,xlsx
8.2.2.27 Template.xlsx,8.2.2.27,0,ATT,xlsx
8.2.2.28 Down time Tracking Template.xlsx,8.2.2.28,0,Jan,xlsx
8.2.2.28 Down time Tracking Template.xlsx,8.2.2.28,1,Feb,xlsx
8.2.2.28 Down time Tracking Template.xlsx,8.2.2.28,2,Mar,xlsx
8.2.2.28 Down time Tracking Template.xlsx,8.2.2.28,3,Apr,xlsx
8.2.2.28 Down time Tracking Template.xlsx,8.2.2.28,4,May,xlsx
8.2.2.28 Down time Tracking Template.xlsx,8.2.2.28,5,June,xlsx
8.2.2.28 Down time Tracking Template.xlsx,8.2.2.28,6,July,xlsx
8.2.2.28 Down time Tracking Template.xlsx,8.2.2.28,7,Aug,xlsx
8.2.2.28 Down time Tracking Template.xlsx,8.2.2.28,8,Sept,xlsx
8.2.2.28 Down time Tracking Template.xlsx,8.2.2.28,9,Oct,xlsx
8.2.2.28 Down time Tracking Template.xlsx,8.2.2.28,10,Nov,xlsx
8.2.2.28 Down time Tracking Template.xlsx,8.2.2.28,11,Dec,xlsx
8.2.2.29 Daily Production Report Template.xlsx,8.2.2.29,0,#101 JANUARY 2024,xlsx
8.2.2.29 Daily Production Report Template.xlsx,8.2.2.29,1,#103 JANUARY 2024,xlsx
8.2.2.30 Buffing Summary Template.xlsx,8.2.2.30,0,Jan,xlsx
8.2.2.30 Buffing Summary Template.xlsx,8.2.2.30,1,Feb,xlsx
8.2.2.30 Buffing Summary Template.xlsx,8.2.2.30,2,Mar,xlsx
8.2.2.30 Buffing Summary Template.xlsx,8.2.2.30,3,Apr,xlsx
8.2.2.30 Buffing Summary Template.xlsx,8.2.2.30,4,May,xlsx
8.2.2.30 Buffing Summary Template.xlsx,8.2.2.30,5,June,xlsx
8.2.2.30 Buffing Summary Template.xlsx,8.2.2.30,6,July,xlsx
8.2.2.30 Buffing Summary Template.xlsx,8.2.2.30,7,Aug,xlsx
8.2.2.30 Buffing Summary Template.xlsx,8.2.2.30,8,Sept,xlsx
8.2.2.30 Buffing Summary Template.xlsx,8.2.2.30,9,Oct,xlsx
8.2.2.30 Buffing Summary Template.xlsx,8.2.2.30,10,Daily Summary,xlsx
8.2.2.30 Buffing Summary Template.xlsx,8.2.2.30,11,Nov,xlsx
8.2.2.30 Buffing Summary Template.xlsx,8.2.2.30,12,Dec,xlsx
8.2.2.30 Buffing Summary Template.xlsx,8.2.2.30,13,Montly Summary,xlsx
8.2.2.30 Buffing Summary Template.xlsx,8.2.2.30,14,Charts Info,xlsx
8.2.2.31 Daily Hummer Sanding Tally Sheet.xlsx,8.2.2.31,0,1st,xlsx
8.2.2.31 Daily Hummer Sanding Tally Sheet.xlsx,8.2.2.31,1,Rev Log,xlsx
8.2.2.32 Dustless Sander Maintenance Check Sheet.xlsx,8.2.2.32,0,Daily Cleaning Schedule,xlsx
8.2.2.33 Plant 2 Paint Trial Information Sheet.xlsx,8.2.2.33,0,Paint Trial,xlsx
8.2.2.34 Sanding Booth Cleaning and Maintenance.xlsx,8.2.2.34,0,Daily,xlsx
8.2.2.34 Sanding Booth Cleaning and Maintenance.xlsx,8.2.2.34,1,Monthly,xlsx
8.2.2.5 Paint Kitchen Inventory.xlsx,8.2.2.5,0,Rev 7,xlsx
8.2.2.5 Paint Kitchen Inventory.xlsx,8.2.2.5,1,Rev Log,xlsx
8.2.2.5 Paint Kitchen Inventory.xlsx,8.2.2.5,2,Rev 6,xlsx
8.2.2.6 Change Tracker.xlsx,8.2.2.6,0,Paint Trial,xlsx
8.2.2.6 Change Tracker.xlsx,8.2.2.6,1,Ship Request,xlsx
8.2.2.6 Change Tracker.xlsx,8.2.2.6,2,Sheet2,xlsx
8.2.2.7 Daily Sanding Tally Sheet.xlsx,8.2.2.7,0,1st,xlsx
8.2.2.7 Daily Sanding Tally Sheet.xlsx,8.2.2.7,1,Rev Log,xlsx
8.2.2.8 Daily Buffing Tally Sheet.xlsx,8.2.2.8,0,Days,xlsx
8.2.2.8 Daily Buffing Tally Sheet.xlsx,8.2.2.8,1,KANBAN SHEET,xlsx
8.2.2.8 Daily Buffing Tally Sheet.xlsx,8.2.2.8,2,Rev Log,xlsx
8.2.2.9 Daily Deburring Tally Sheet.xlsx,8.2.2.9,0,1st,xlsx
8.2.2.9 Daily Deburring Tally Sheet.xlsx,8.2.2.9,1,Rev Log,xlsx
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.1 101-103 Weekly Rack Burn Off Tracker.xlsx,8.2.2.1.1,0,101-103,xlsx
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.10 Daily Painter Line Up.xlsx,8.2.2.1.10,0,Sheet1,xlsx
