doc_number,filename,relative_path,extension,size_kb,category,has_macros
8.2.2.1.1,8.2.2.1.1 101-103 Weekly Rack Burn Off Tracker.xlsx,8.2.2.1 Line 101-103 Operating Forms\8.2.2.1.1 101-103 Weekly Rack Burn Off Tracker.xlsx,.xlsx,47.3,maintenance,no
8.2.2.1.10,8.2.2.1.10 Daily Painter Line Up.xlsx,8.2.2.1 Line 101-103 Operating Forms\8.2.2.1.10 Daily Painter Line Up.xlsx,.xlsx,3288.4,scheduling,no
8.2.2.1.11,8.2.2.1.11 103 Schedule Template.xlsx,8.2.2.1 Line 101-103 Operating Forms\8.2.2.1.11 103 Schedule Template.xlsx,.xlsx,92.4,scheduling,no
8.2.2.1.16,8.2.2.1.16 Oven Verification Log.xls,8.2.2.1 Line 101-103 Operating Forms\8.2.2.1.16 Oven Verification Log.xls,.xls,137.5,process_control,no
8.2.2.1.18,8.2.2.1.18 Daily Paint Tally Sheet.xls,8.2.2.1 Line 101-103 Operating Forms\8.2.2.1.18 Daily Paint Tally Sheet.xls,.xls,213.5,production_tracking,no
8.2.2.1.19,8.2.2.1.19 Line 103 Paint Pot Lines Cleaning Chart.xlsx,8.2.2.1 Line 101-103 Operating Forms\8.2.2.1.19 Line 103 Paint Pot Lines Cleaning Chart.xlsx,.xlsx,16.0,maintenance,no
8.2.2.1.2,8.2.2.1.2 Paint Kitchen Temp Log.xls,8.2.2.1 Line 101-103 Operating Forms\8.2.2.1.2 Paint Kitchen Temp Log.xls,.xls,146.5,process_control,no
8.2.2.1.20,8.2.2.1.20 Line 101 Paint Pot Lines Cleaning Chart.xlsx,8.2.2.1 Line 101-103 Operating Forms\8.2.2.1.20 Line 101 Paint Pot Lines Cleaning Chart.xlsx,.xlsx,16.7,maintenance,no
8.2.2.1.3,8.2.2.1.3 Daily Paint Booth Cleaning Schedule.xlsx,8.2.2.1 Line 101-103 Operating Forms\8.2.2.1.3 Daily Paint Booth Cleaning Schedule.xlsx,.xlsx,17.6,maintenance,no
8.2.2.1.4,8.2.2.1.4 Monthly Paint Booth Cleaning Schedule.xlsx,8.2.2.1 Line 101-103 Operating Forms\8.2.2.1.4 Monthly Paint Booth Cleaning Schedule.xlsx,.xlsx,18.8,maintenance,no
8.2.2.1.5,8.2.2.1.5 101-103 Daily Load Sheet.xlsx,8.2.2.1 Line 101-103 Operating Forms\8.2.2.1.5 101-103 Daily Load Sheet.xlsx,.xlsx,21.0,production_tracking,no
8.2.2.1.6,8.2.2.1.6 101 Schedule Template.xlsx,8.2.2.1 Line 101-103 Operating Forms\8.2.2.1.6 101 Schedule Template.xlsx,.xlsx,93.1,scheduling,no
8.2.2.1.7,8.2.2.1.7 Daily Painter Schedule.xlsx,8.2.2.1 Line 101-103 Operating Forms\8.2.2.1.7 Daily Painter Schedule.xlsx,.xlsx,21.2,scheduling,no
8.2.2.1.9,8.2.2.1.9 Daily Down Time.xlsx,8.2.2.1 Line 101-103 Operating Forms\8.2.2.1.9 Daily Down Time.xlsx,.xlsx,40.8,downtime,no
8.2.2.10,8.2.2.10 Sanded- Ready For Paint(Orange).xlsx,8.2.2.10 Sanded- Ready For Paint(Orange).xlsx,.xlsx,11.3,labels_tags,no
8.2.2.11,8.2.2.11 Finished GoodsPartial.xlsx,8.2.2.11 Finished GoodsPartial.xlsx,.xlsx,11.2,labels_tags,no
8.2.2.12,8.2.2.12 Hold Tag.xlsx,8.2.2.12 Hold Tag.xlsx,.xlsx,11.3,defect_tracking,no
8.2.2.13,8.2.2.13 Hold For Review.xlsx,8.2.2.13 Hold For Review.xlsx,.xlsx,11.2,defect_tracking,no
8.2.2.14,8.2.2.14 Partial Raw.xlsx,8.2.2.14 Partial Raw.xlsx,.xlsx,11.2,labels_tags,no
8.2.2.15,8.2.2.15 Rework- To Be Sanded.xlsx,8.2.2.15 Rework- To Be Sanded.xlsx,.xlsx,11.2,defect_tracking,no
8.2.2.16,8.2.2.16 To Be Buffed.xlsx,8.2.2.16 To Be Buffed.xlsx,.xlsx,11.2,labels_tags,no
8.2.2.17,8.2.2.17 Booth Sludge.xlsx,8.2.2.17 Booth Sludge.xlsx,.xlsx,10.8,waste_management,no
8.2.2.18,8.2.2.18 Empty.xlsx,8.2.2.18 Empty.xlsx,.xlsx,10.8,waste_management,no
8.2.2.19,8.2.2.19 Still Bottoms.xlsx,8.2.2.19 Still Bottoms.xlsx,.xlsx,10.8,waste_management,no
8.2.2.2.1,8.2.2.2.1 102 Line Paint Production Tracking.xlsx,8.2.2.2 Line 102 Operating Forms\8.2.2.2.1 102 Line Paint Production Tracking.xlsx,.xlsx,23.3,production_tracking,no
8.2.2.2.10,8.2.2.2.10 102 Maintenance Log.xlsx,8.2.2.2 Line 102 Operating Forms\8.2.2.2.10 102 Maintenance Log.xlsx,.xlsx,18.2,maintenance,no
8.2.2.2.17,8.2.2.2.17 Approved Tag Tracking.xlsx,8.2.2.2 Line 102 Operating Forms\8.2.2.2.17 Approved Tag Tracking.xlsx,.xlsx,3297.3,labels_tags,no
8.2.2.2.3,8.2.2.2.3 102 Line Paint Schedule Template.xlsx,8.2.2.2 Line 102 Operating Forms\8.2.2.2.3 102 Line Paint Schedule Template.xlsx,.xlsx,104.9,scheduling,no
8.2.2.2.4,8.2.2.2.4 102 Line Loaded Parts Tracking.xlsx,8.2.2.2 Line 102 Operating Forms\8.2.2.2.4 102 Line Loaded Parts Tracking.xlsx,.xlsx,24.1,other,no
8.2.2.2.6,8.2.2.2.6 Line 102 Programs.xlsx,8.2.2.2 Line 102 Operating Forms\8.2.2.2.6 Line 102 Programs.xlsx,.xlsx,13.6,document_control,no
8.2.2.2.7,8.2.2.2.7 102 Line Operating Form.xlsm,8.2.2.2 Line 102 Operating Forms\8.2.2.2.7 102 Line Operating Form.xlsm,.xlsm,52.5,other,yes
8.2.2.2.8,8.2.2.2.8 Line 102 Robot Operator Maintenance.xlsx,8.2.2.2 Line 102 Operating Forms\8.2.2.2.8 Line 102 Robot Operator Maintenance.xlsx,.xlsx,16.6,maintenance,no
8.2.2.2.9,8.2.2.2.9 102 TPM Checklist.xlsx,8.2.2.2 Line 102 Operating Forms\8.2.2.2.9 102 TPM Checklist.xlsx,.xlsx,15.6,maintenance,no
8.2.2.20,8.2.2.20 Waste Paint.xlsx,8.2.2.20 Waste Paint.xlsx,.xlsx,10.8,waste_management,no
8.2.2.21,8.2.2.21 Waste Zinc.xlsx,8.2.2.21 Waste Zinc.xlsx,.xlsx,10.9,waste_management,no
8.2.2.22,8.2.2.22 Use Next.xlsx,8.2.2.22 Use Next.xlsx,.xlsx,10.9,labels_tags,no
8.2.2.23,8.2.2.23 Paint Mix Information Sheet.xlsx,8.2.2.23 Paint Mix Information Sheet.xlsx,.xlsx,23.1,process_control,no
8.2.2.24,8.2.2.24 Pressure Pot Label.xlsx,8.2.2.24 Pressure Pot Label.xlsx,.xlsx,12.7,process_control,no
8.2.2.25,8.2.2.25 Solvent Usage Tracking.xlsx,8.2.2.25 Solvent Usage Tracking.xlsx,.xlsx,20.7,lab_chemistry,no
8.2.2.26,8.2.2.26 New Paint Batch Verification.xlsx,8.2.2.26 New Paint Batch Verification.xlsx,.xlsx,23.8,process_control,no
8.2.2.27,8.2.2.27 Template.xlsx,8.2.2.27 Template.xlsx,.xlsx,18.8,document_control,no
8.2.2.28,8.2.2.28 Down time Tracking Template.xlsx,8.2.2.28 Down time Tracking Template.xlsx,.xlsx,100.1,document_control,no
8.2.2.29,8.2.2.29 Daily Production Report Template.xlsx,8.2.2.29 Daily Production Report Template.xlsx,.xlsx,20.5,production_tracking,no
8.2.2.30,8.2.2.30 Buffing Summary Template.xlsx,8.2.2.30 Buffing Summary Template.xlsx,.xlsx,173.2,document_control,no
8.2.2.31,8.2.2.31 Daily Hummer Sanding Tally Sheet.xlsx,8.2.2.31 Daily Hummer Sanding Tally Sheet.xlsx,.xlsx,18.6,production_tracking,no
8.2.2.32,8.2.2.32 Dustless Sander Maintenance Check Sheet.xlsx,8.2.2.32 Dustless Sander Maintenance Check Sheet.xlsx,.xlsx,18.3,maintenance,no
8.2.2.33,8.2.2.33 Plant 2 Paint Trial Information Sheet.xlsx,8.2.2.33 Plant 2 Paint Trial Information Sheet.xlsx,.xlsx,17.7,other,no
8.2.2.34,8.2.2.34 Sanding Booth Cleaning and Maintenance.xlsx,8.2.2.34 Sanding Booth Cleaning and Maintenance.xlsx,.xlsx,56.6,maintenance,no
8.2.2.5,8.2.2.5 Paint Kitchen Inventory.xlsx,8.2.2.5 Paint Kitchen Inventory.xlsx,.xlsx,65.8,lab_chemistry,no
8.2.2.6,8.2.2.6 Change Tracker.xlsx,8.2.2.6 Change Tracker.xlsx,.xlsx,41.4,document_control,no
8.2.2.7,8.2.2.7 Daily Sanding Tally Sheet.xlsx,8.2.2.7 Daily Sanding Tally Sheet.xlsx,.xlsx,18.3,production_tracking,no
8.2.2.8,8.2.2.8 Daily Buffing Tally Sheet.xlsx,8.2.2.8 Daily Buffing Tally Sheet.xlsx,.xlsx,28.0,production_tracking,no
8.2.2.9,8.2.2.9 Daily Deburring Tally Sheet.xlsx,8.2.2.9 Daily Deburring Tally Sheet.xlsx,.xlsx,18.0,production_tracking,no
