filename,sheet_index,sheet_name
8.2.2.1.1 101-103 Weekly Rack Burn Off Tracker.xlsx,0,101-103
8.2.2.1.10 Daily Painter Line Up.xlsx,0,Sheet1
8.2.2.1.11 103 Schedule Template.xlsx,0,Weekly Plan
8.2.2.1.11 103 Schedule Template.xlsx,1,Paint Usage
8.2.2.1.11 103 Schedule Template.xlsx,2,Time Matrix
8.2.2.1.11 103 Schedule Template.xlsx,3,Mon (103)
8.2.2.1.11 103 Schedule Template.xlsx,4,Tue (103)
8.2.2.1.11 103 Schedule Template.xlsx,5,Wed (103)
8.2.2.1.11 103 Schedule Template.xlsx,6,Thur (103)
8.2.2.1.11 103 Schedule Template.xlsx,7,Fri (103)
8.2.2.1.11 103 Schedule Template.xlsx,8,Sat (103)
8.2.2.1.11 103 Schedule Template.xlsx,9,Painter Matrix
8.2.2.1.11 103 Schedule Template.xlsx,10,Part Info
8.2.2.1.16 Oven Verification Log.xls,0,Sheet1
8.2.2.1.16 Oven Verification Log.xls,1,Line 101 103
8.2.2.1.18 Daily Paint Tally Sheet.xls,0,Paint Tally 
8.2.2.1.18 Daily Paint Tally Sheet.xls,1,KANBAN SHEET
8.2.2.1.19 Line 103 Paint Pot Lines Cleaning Chart.xlsx,0,Sheet1
8.2.2.1.2 Paint Kitchen Temp Log.xls,0,Sheet1
8.2.2.1.2 Paint Kitchen Temp Log.xls,1,KANBAN SHEET
8.2.2.1.2 Paint Kitchen Temp Log.xls,2,Sheet3
8.2.2.1.20 Line 101 Paint Pot Lines Cleaning Chart.xlsx,0,Sheet1
8.2.2.1.3 Daily Paint Booth Cleaning Schedule.xlsx,0,Daily Cleaning Schedule
8.2.2.1.4 Monthly Paint Booth Cleaning Schedule.xlsx,0,Cleaning Schedule 103
8.2.2.1.4 Monthly Paint Booth Cleaning Schedule.xlsx,1,Rev Log
8.2.2.1.5 101-103 Daily Load Sheet.xlsx,0,Load Sheet
8.2.2.1.6 101 Schedule Template.xlsx,0,Weekly Plan
8.2.2.1.6 101 Schedule Template.xlsx,1,Paint Usage
8.2.2.1.6 101 Schedule Template.xlsx,2,Time Matrix
8.2.2.1.6 101 Schedule Template.xlsx,3,Mon (101)
8.2.2.1.6 101 Schedule Template.xlsx,4,Tue (101)
8.2.2.1.6 101 Schedule Template.xlsx,5,Wed (101)
8.2.2.1.6 101 Schedule Template.xlsx,6,Thu (101)
8.2.2.1.6 101 Schedule Template.xlsx,7,Fri (101)
8.2.2.1.6 101 Schedule Template.xlsx,8,Sat (101)
8.2.2.1.6 101 Schedule Template.xlsx,9,Painter Matrix
8.2.2.1.6 101 Schedule Template.xlsx,10,Part Info
8.2.2.1.7 Daily Painter Schedule.xlsx,0,Sheet1
8.2.2.1.9 Daily Down Time.xlsx,0,Sheet1
8.2.2.1.9 Daily Down Time.xlsx,1,KANBAN SHEET
8.2.2.10 Sanded- Ready For Paint(Orange).xlsx,0,In Process Tag
8.2.2.11 Finished GoodsPartial.xlsx,0,In Process Tag
8.2.2.12 Hold Tag.xlsx,0,In Process Tag
8.2.2.13 Hold For Review.xlsx,0,In Process Tag
8.2.2.14 Partial Raw.xlsx,0,In Process Tag
8.2.2.15 Rework- To Be Sanded.xlsx,0,In Process Tag
8.2.2.16 To Be Buffed.xlsx,0,In Process Tag
8.2.2.17 Booth Sludge.xlsx,0,In Process Tag
8.2.2.18 Empty.xlsx,0,In Process Tag
8.2.2.19 Still Bottoms.xlsx,0,In Process Tag
8.2.2.2.1 102 Line Paint Production Tracking.xlsx,0,Line Paint Production Tracking
8.2.2.2.10 102 Maintenance Log.xlsx,0,Log
8.2.2.2.10 102 Maintenance Log.xlsx,1,Sheet2
8.2.2.2.17 Approved Tag Tracking.xlsx,0,Sheet1
8.2.2.2.17 Approved Tag Tracking.xlsx,1,KANBAN SHEET
8.2.2.2.3 102 Line Paint Schedule Template.xlsx,0,Monday
8.2.2.2.3 102 Line Paint Schedule Template.xlsx,1,Tuesday
8.2.2.2.3 102 Line Paint Schedule Template.xlsx,2,Wednesday
8.2.2.2.3 102 Line Paint Schedule Template.xlsx,3,Thursday
8.2.2.2.3 102 Line Paint Schedule Template.xlsx,4,Friday
8.2.2.2.3 102 Line Paint Schedule Template.xlsx,5,Saturday
8.2.2.2.3 102 Line Paint Schedule Template.xlsx,6,ScheduleMasterRef
8.2.2.2.3 102 Line Paint Schedule Template.xlsx,7,MasterTimeRef
8.2.2.2.3 102 Line Paint Schedule Template.xlsx,8,MasterJobRef
8.2.2.2.4 102 Line Loaded Parts Tracking.xlsx,0,Line Paint Production Tracking
8.2.2.2.6 Line 102 Programs.xlsx,0,Sheet1
8.2.2.2.7 102 Line Operating Form.xlsm,0,Sheet1
8.2.2.2.7 102 Line Operating Form.xlsm,1,Option 1
8.2.2.2.7 102 Line Operating Form.xlsm,2,Option 2
8.2.2.2.7 102 Line Operating Form.xlsm,3,Sheet2
8.2.2.2.8 Line 102 Robot Operator Maintenance.xlsx,0,Sheet1
8.2.2.2.9 102 TPM Checklist.xlsx,0,102 TPM Inspection
8.2.2.20 Waste Paint.xlsx,0,In Process Tag
8.2.2.21 Waste Zinc.xlsx,0,In Process Tag
8.2.2.22 Use Next.xlsx,0,In Process Tag
8.2.2.23 Paint Mix Information Sheet.xlsx,0,Sheet1
8.2.2.24 Pressure Pot Label.xlsx,0,Sheet1
8.2.2.24 Pressure Pot Label.xlsx,1,Sheet2
8.2.2.25 Solvent Usage Tracking.xlsx,0,Sheet1
8.2.2.26 New Paint Batch Verification.xlsx,0,Sheet1
8.2.2.27 Template.xlsx,0,ATT
8.2.2.28 Down time Tracking Template.xlsx,0,Jan
8.2.2.28 Down time Tracking Template.xlsx,1,Feb
8.2.2.28 Down time Tracking Template.xlsx,2,Mar
8.2.2.28 Down time Tracking Template.xlsx,3,Apr
8.2.2.28 Down time Tracking Template.xlsx,4,May
8.2.2.28 Down time Tracking Template.xlsx,5,June
8.2.2.28 Down time Tracking Template.xlsx,6,July
8.2.2.28 Down time Tracking Template.xlsx,7,Aug
8.2.2.28 Down time Tracking Template.xlsx,8,Sept
8.2.2.28 Down time Tracking Template.xlsx,9,Oct
8.2.2.28 Down time Tracking Template.xlsx,10,Nov
8.2.2.28 Down time Tracking Template.xlsx,11,Dec
8.2.2.29 Daily Production Report Template.xlsx,0,#101 JANUARY 2024
8.2.2.29 Daily Production Report Template.xlsx,1,#103 JANUARY 2024
8.2.2.30 Buffing Summary Template.xlsx,0,Jan
8.2.2.30 Buffing Summary Template.xlsx,1,Feb
8.2.2.30 Buffing Summary Template.xlsx,2,Mar
8.2.2.30 Buffing Summary Template.xlsx,3,Apr
8.2.2.30 Buffing Summary Template.xlsx,4,May
8.2.2.30 Buffing Summary Template.xlsx,5,June
8.2.2.30 Buffing Summary Template.xlsx,6,July
8.2.2.30 Buffing Summary Template.xlsx,7,Aug
8.2.2.30 Buffing Summary Template.xlsx,8,Sept
8.2.2.30 Buffing Summary Template.xlsx,9,Oct
8.2.2.30 Buffing Summary Template.xlsx,10,Daily Summary
8.2.2.30 Buffing Summary Template.xlsx,11,Nov
8.2.2.30 Buffing Summary Template.xlsx,12,Dec
8.2.2.30 Buffing Summary Template.xlsx,13,Montly Summary
8.2.2.30 Buffing Summary Template.xlsx,14,Charts Info
8.2.2.31 Daily Hummer Sanding Tally Sheet.xlsx,0,1st
8.2.2.31 Daily Hummer Sanding Tally Sheet.xlsx,1,Rev Log
8.2.2.32 Dustless Sander Maintenance Check Sheet.xlsx,0,Daily Cleaning Schedule
8.2.2.33 Plant 2 Paint Trial Information Sheet.xlsx,0,Paint Trial
8.2.2.34 Sanding Booth Cleaning and Maintenance.xlsx,0,Daily
8.2.2.34 Sanding Booth Cleaning and Maintenance.xlsx,1,Monthly
8.2.2.5 Paint Kitchen Inventory.xlsx,0,Rev 7
8.2.2.5 Paint Kitchen Inventory.xlsx,1,Rev Log
8.2.2.5 Paint Kitchen Inventory.xlsx,2,Rev 6
8.2.2.6 Change Tracker.xlsx,0,Paint Trial
8.2.2.6 Change Tracker.xlsx,1,Ship Request
8.2.2.6 Change Tracker.xlsx,2,Sheet2
8.2.2.7 Daily Sanding Tally Sheet.xlsx,0,1st
8.2.2.7 Daily Sanding Tally Sheet.xlsx,1,Rev Log
8.2.2.8 Daily Buffing Tally Sheet.xlsx,0,Days
8.2.2.8 Daily Buffing Tally Sheet.xlsx,1,KANBAN SHEET
8.2.2.8 Daily Buffing Tally Sheet.xlsx,2,Rev Log
8.2.2.9 Daily Deburring Tally Sheet.xlsx,0,1st
8.2.2.9 Daily Deburring Tally Sheet.xlsx,1,Rev Log
